date,symbol,composite,signal,technical,fundamental,valuation,sentiment,smart_money,macro,backtest,risk,data_completeness,price_at_scoring,quality_score,timing_score
2026-05-04,AMD,39,SELL,5,8,3,7,5,7,2,3,87
2026-05-04,INFQ,37,SELL,4,3,3,6,5,7,2,2,75
2026-05-04,ALMU,38,SELL,5,5,2,6,4,7,4,3,73
2026-05-04,FLTCF,43,HOLD,5,7,4,5,5,7,1,4,60
2026-05-04,FIX,56,HOLD,7,9,4,7,5,7,1,5,88
2026-05-04,KLTR,49,HOLD,5,5,7,6,4,6,2,4,79
2026-05-04,NVT,53,HOLD,6,7,3,7,7,7,1,4,82
2026-05-04,ASX,47,HOLD,6,7,3,6,4,7,2,4,85
2026-05-04,AMPX,42,HOLD,5,5,3,6,4,7,2,3,75
2026-05-04,LAW,44,HOLD,5,4,4,5,7,6,3,3,78
2026-05-04,BBAI,39,SELL,5,3,2,5,7,5,2,2,75
2026-05-04,KGS,48,HOLD,6,7,3,6,5,7,2,5,75
2026-05-04,BE,37,SELL,5,7,5,7,4,7,1,2,75
2026-05-04,CRDO,55,HOLD,7,8,8,7,5,7,1,3,85
2026-05-04,CDNS,43,HOLD,5,7,2,5,5,7,4,5,72
2026-05-04,SATS,37,SELL,5,3,2,6,4,7,1,3,78
2026-05-04,GEV,53,HOLD,6,7,3,7,7,7,2,4,80
2026-05-05,PLTR,50,HOLD,4,9,4,5,6,7,1,4,88
2026-05-06,AMD,60,BUY,8,8,5,7,4,6,4,5,90,355.26,64,62
2026-05-06,PLTR,45,HOLD,3,9,4,5,5,6,7,5,90,135.91,62,48
